Ö¸±êÃû³Æ,activity,time,request,death,size,feedback,issue,quality,act_final,health,stars,month,contributor,fork
Azure_azure-cli,2.21,4.78,7.8,0.62,3,2.44,6.45,6.84,4.85,5.28,3929,81,3629,3139
Azure_azure-powershell,5.31,4.35,7.62,0,3,2.72,6.8,6.05,5.76,5.45,3892,99,6447,4586
Azure_azure-rest-api-specs,6.9,5.42,6.81,1.2,3,2.6,6.18,6.72,6.22,5.64,2217,92,11584,6357
Azure_azure-sdk-for-java,8.34,5.21,6.96,3.43,3,2.94,7.21,6.15,6.38,5.79,1867,99,3390,1954
Azure_azure-sdk-for-js,9.56,5.27,5.75,1.07,3,3.39,7.12,6.43,6.72,6.05,1741,56,2372,1129
Azure_azure-sdk-for-net,6.43,4.62,7.81,0.3,3,3.2,7.01,7.09,6.25,6.04,4612,99,6161,5051
Azure_azure-sdk-for-python,6.77,4.6,5.54,2.73,3,3.7,6.17,4.94,5.27,5.04,3815,99,3101,2578
backstage_backstage,9.43,5.8,9,0,3,10,6.56,5.99,8.08,7.53,22058,37,3562,4677
bevyengine_bevy,6.75,6.24,3.28,0,3,10,6.48,7.51,5.42,7.18,25909,34,2223,3264
bioconda_bioconda-recipes,9.21,5.41,5.74,0.33,3,2.6,5.61,3.32,6.74,4.66,1652,91,11032,4567
bitcoin_bitcoin,5.78,8.8,6.24,0,3,10,5.78,8.9,6.94,7.91,73316,99,3714,31782
bitnami_charts,3.8,4.8,8.68,4.82,3,6.57,4.83,4.65,5.12,5.21,7153,85,3292,9698
brave_brave-browser,2.08,7.33,7.49,0.66,3,4.77,8.7,3.62,5.55,5.44,17704,61,973,2411
brave_brave-core,10,6.78,6.54,0.16,2,3.95,3.13,7.03,7.75,5.85,2297,61,3430,954
ccxt_ccxt,2.4,5.75,6.62,0.14,3,10,6.74,3.79,4.9,5.96,30688,71,1670,8231
